Name,Symbol,Price,24h Change (%),7d Change (%),Market Cap,Volume (24h),Circulating Supply,Time Scraped
Bitcoin,BTC,105610.4029,0.95989091,-0.83877693,2.1066E+12,71892151692,19946887,11/10/2025 15:25
Ethereum,ETH,3542.494538,-1.00396437,-1.4510506,4.27567E+11,36374328585,120696594.4,11/10/2025 15:25
Tether USDt,USDT,0.999850245,-0.00685024,-0.00321838,1.83443E+11,1.38369E+11,1.8347E+11,11/10/2025 15:25
XRP,XRP,2.522949395,7.8297849,9.76336787,1.51647E+11,6622728995,60107199237,11/10/2025 15:25
BNB,BNB,986.5080692,-1.0149682,-0.6731822,1.35879E+11,2873362475,137737265,11/10/2025 15:25
Solana,SOL,165.700045,0.4693485,-0.15959772,91730013162,5462486353,553590756,11/10/2025 15:25
USDC,USDC,0.999961203,0.01123426,0.01527136,76163413017,16038861149,76166368055,11/10/2025 15:25
TRON,TRX,0.294812762,1.20054079,4.2779428,27909519830,629962962.5,94668628368,11/10/2025 15:25
Dogecoin,DOGE,0.179419118,-0.23723753,7.63368892,27221537840,2129306860,1.5172E+11,11/10/2025 15:25
Cardano,ADA,0.587123532,1.5913702,6.69466355,21060742854,832688853.8,35871059005,11/10/2025 15:25
Hyperliquid,HYPE,41.49830826,-1.18683441,3.6395251,13971867005,412902907.8,336685219,11/10/2025 15:25
Chainlink,LINK,16.05150362,0.57738943,4.69106366,11185489820,823388679.3,696849970.5,11/10/2025 15:25
Bitcoin Cash,BCH,504.8877137,0.3454461,-0.05025271,10073152042,329505038.6,19951271.88,11/10/2025 15:25
Stellar,XLM,0.298059013,4.86870553,7.50718544,9567637909,327101667.3,32099810735,11/10/2025 15:25
Zcash,ZEC,526.4481412,-15.68661368,26.85637151,8583839423,4149880091,16305194.67,11/10/2025 15:25
UNUS SED LEO,LEO,9.160918582,-0.23094967,-4.32393557,8448793751,2096247.035,922264909.9,11/10/2025 15:25
Ethena USDe,USDe,0.999092606,-0.0141653,-0.03079515,8433929794,176748078.9,8441589644,11/10/2025 15:25
Hedera,HBAR,0.190947634,8.09343213,8.63087182,8110544661,500096401,42475229925,11/10/2025 15:25
Litecoin,LTC,104.3074737,-7.42982478,19.80769138,7980105412,1295601358,76505595.73,11/10/2025 15:25
Sui,SUI,2.128281018,-1.15686876,2.92202524,7834895139,931705865.9,3681325480,11/10/2025 15:25
Avalanche,AVAX,17.93955324,1.305428,7.394399,7661659634,473069136.9,427081964.3,11/10/2025 15:25
Monero,XMR,385.6137304,-10.61149479,9.88289004,7113317796,236965653.2,18446744.07,11/10/2025 15:25
