Name,Symbol,Price,24h Change (%),7d Change (%),Market Cap,Volume (24h),Circulating Supply
Bitcoin,BTC,102971.22391316087,-2.99120429,1.44034729,2054021681115.7178,71415452451.79219,19947531.0
Ethereum,ETH,3418.60405546943,-4.22940103,3.79128455,412613662101.48444,39610902858.53036,120696534.43525968
Tether USDt,USDT,0.9996282022225279,-0.01359202,-0.04376963,183429624778.27368,139756014462.5928,183497848870.6547
XRP,XRP,2.395533812162204,-5.34261945,8.29625338,143988828126.60373,4512608106.267198,60107199237.0
BNB,BNB,960.6202438457473,-3.30413534,2.50144165,132313145628.55322,2691723512.3505282,137737203.1
Solana,SOL,155.2050639910556,-7.42804233,-0.15050494,85969203226.30844,6143380508.642468,553907205.187988
USDC,USDC,0.9999744283180474,0.00342891,0.00698552,75998436490.5128,15703530099.610966,76000379948.05711
TRON,TRX,0.2976430038044362,0.50156552,4.2744007,28177416343.955353,753986766.5578556,94668498784.7693
Dogecoin,DOGE,0.17238844892019362,-5.34345732,5.96438395,26157305509.194473,2096794768.5476856,151734676383.7052
Cardano,ADA,0.5584250666075432,-5.83924128,7.18755731,20031298514.161766,855048442.047909,35871059005.020645
Hyperliquid,HYPE,38.79093196867072,-6.92955751,-0.99117932,13060333425.086002,437831434.38859236,336685219.0
Chainlink,LINK,15.341653595363308,-5.95764462,4.01251441,10690830854.622742,762697644.9958222,696849970.4525867
Bitcoin Cash,BCH,506.2663923597569,-1.66266509,5.00746861,10100897329.598827,480655017.2776905,19951743.75
Stellar,XLM,0.2820990545803724,-6.21287052,4.26978397,9058536412.667215,221489105.53423008,32111190255.996986
UNUS SED LEO,LEO,9.24659500512089,0.64824078,-3.13809501,8527716117.64138,3788166.47256842,922254744.9
Ethena USDe,USDe,0.9989566035616536,-0.02653031,-0.02953339,8386399800.220642,127852712.35572055,8395159279.512236
Litecoin,LTC,100.07390267736791,-4.67361941,17.17025976,7656595073.459423,922671942.5462854,76509408.23347135
Hedera,HBAR,0.1782055937697779,-7.56792375,5.47652561,7569323569.209222,327679025.9882886,42475229924.53288
Sui,SUI,2.016215709311988,-6.90342419,1.91454525,7422346264.266375,916351136.9546521,3681325480.198332
Zcash,ZEC,454.4655336100664,-12.52907335,2.26832057,7410894488.192521,2510615237.0936294,16306835.0405448
Avalanche,AVAX,17.085869327329203,-5.97714241,6.38054237,7297139704.055917,461627461.6800601,427086240.93150413
Monero,XMR,371.17275043817506,-3.74467231,9.34349175,6846928734.467879,218984581.14535147,18446744.07370955
Shiba Inu,SHIB,9.682701524429698e-06,-4.46447539,9.28390026,5705481277.408901,148579069.6459506,589244774613141.8
Dai,DAI,0.9997166989804269,-0.01469275,-0.04439464,5363862684.274807,104526807.90293427,5365382702.664872
Uniswap,UNI,8.22143875833472,-8.65099774,61.74435739,5182223831.075749,3284592424.4388304,630330527.7099
Toncoin,TON,2.036656666029824,-4.66264174,7.24255408,5065093665.247648,138657994.52750134,2486964911.528921
Polkadot,DOT,3.0635327726049755,-5.99547643,21.84925391,5007593853.59787,334419790.8668077,1634581453.9270701
Cronos,CRO,0.12564833210986026,-7.90630721,3.47518397,4537895346.8643,31424774.61650587,36115842293.04854
Canton,CC,0.11903405903654686,-0.0813047,-21.51219044,4161586324.8635883,68333318.67202416,34961307364.859856
Mantle,MNT,1.241228987737835,-5.96799611,-2.22964327,4037648457.4700465,124789529.7394311,3252944055.7368407
Bittensor,TAO,363.8967163636887,-6.20703846,-9.07996156,3742687921.837516,247482669.16734338,10285028.01354483
World Liberty Financial,WLFI,0.15121829919550497,-1.8920586,33.08761884,3716217244.572022,273519019.1464256,24575182133.0
NEAR Protocol,NEAR,2.557718344492591,-8.60830147,39.18952794,3273130112.956792,467374469.755966,1279707017.0
Internet Computer,ICP,6.059221074644244,-11.21161421,15.10679796,3271770682.0439777,485813037.85116225,539965556.915428
Aave,AAVE,208.20643214455907,-7.94421723,10.23228763,3179123334.980113,453501835.2427866,15269092.80484105
PayPal USD,PYUSD,0.999450264875884,-0.01103206,-0.05603938,3116488147.835604,119108900.08026414,3118202333.182255
Bitget Token,BGB,4.092466904334332,-0.03084481,0.1754475,2855176037.971424,69529143.8577723,697666249.896244
World Liberty Financial USD,USD1,0.9991130997368695,-0.03283599,-0.03689668,2828276312.7149525,291205042.05190766,2830786938.395482
OKB,OKB,122.4245692245744,-4.40650539,-1.25691649,2570915953.7160625,50452865.24858565,21000000.0
MemeCore,M,2.4343672701669945,2.10471403,-0.76539255,2530527372.3741007,14275926.31597303,1039501066.0
Pepe,PEPE,5.856240960899049e-06,-6.01443571,4.31347095,2463661422.1875863,353584851.74567324,420689899653542.56
Ethereum Classic,ETC,15.6788410433511,-4.67197618,9.35880243,2419034416.8221955,129933549.79118843,154286557.9243838
Ethena,ENA,0.3114922527421635,-8.13372085,-2.56276538,2312343269.9656544,354697876.29834366,7423437500.0
Aptos,APT,3.1066602410612196,-5.7545,21.10633493,2239997276.140433,121278931.80904458,721030657.4674741
Aster,ASTER,1.0918422339294094,0.04403373,11.94256634,2203010075.3993692,731604865.3074548,2017700000.0
Ondo,ONDO,0.6515438474573993,-5.67353918,9.49674544,2058297073.9762976,78502674.26472366,3159107529.0
Pi,PI,0.22320996498366577,-3.91255538,2.53926817,1854508864.945736,28397512.40207825,8308360538.838159
Polygon (prev. MATIC),POL,0.17180180759982316,-5.74758435,5.76049669,1809860311.9108078,134449078.8391344,10534582477.307247
Worldcoin,WLD,0.7746190112672321,-6.44627472,9.95091571,1758767714.7813454,161054536.70578086,2270493867.564782
KuCoin Token,KCS,12.958221867876132,-1.27386232,9.36310589,1681055308.2453961,7939976.31084839,129728856.73556715
Filecoin,FIL,2.243519037922289,-11.35491865,64.09436857,1594477009.8060076,643867038.6208881,710703579.0
OFFICIAL TRUMP,TRUMP,7.913878045415475,-10.46343925,13.37734317,1582769548.3501666,899280247.8529196,199999234.163972
Algorand,ALGO,0.1782499204013535,-5.45516084,15.57643028,1567432977.651079,83114534.10048176,8793456816.820978
Tether Gold,XAUt,4123.443880193955,0.38538158,4.92009989,1565826854.7471497,11182878064.886072,379737.6417
Arbitrum,ARB,0.2770264049291105,-9.61133637,8.45390184,1526330142.3713307,216132480.6017699,5509691911.0
Pump.fun,PUMP,0.004139291080479116,-8.05132941,10.1304807,1465309042.489607,421473270.3351792,354000000000.0
VeChain,VET,0.01699340573617768,-1.98047132,21.07808793,1461178691.9627059,84398805.54341383,85985041177.0
Cosmos,ATOM,2.9589359658785446,-4.67850403,17.34057206,1412383578.5080671,94063073.78347036,477328200.0
PAX Gold,PAXG,4128.416639978083,0.37381985,4.99579275,1376226652.882738,177635145.80340078,333354.594
Kaspa,KAS,0.0497070979707858,-5.55809073,12.27589088,1337488427.6376994,42645925.54370116,26907393153.866623
Flare,FLR,0.015560796346059847,-3.9468498,14.34502969,1219466124.857823,7930964.46772466,78367848131.79591
Render,RENDER,2.335916594948843,-7.48810525,25.33603565,1211370410.782837,78376856.38545907,518584616.1640741
Sky,SKY,0.05269455156585371,-8.21641957,-0.31537154,1207375297.3393764,17973899.16817991,22912716048.65048
Story,IP,3.5620591029956845,-8.41838156,-3.43622549,1151373810.4420362,44767182.65651082,323232652.0
Sei,SEI,0.17572465109396918,-7.45503276,11.13825059,1098083819.5687811,130620541.6089059,6248888888.0
